"year","month","global","north","south","ts","time"
1880,1,-0.17,-0.35,0.01,1880.04,"1880-1-15 00:00:00"
1880,2,-0.23,-0.51,0.04,1880.12,"1880-2-15 00:00:00"
1880,3,-0.08,-0.23,0.07,1880.21,"1880-3-15 00:00:00"
1880,4,-0.15,-0.3,-0.01,1880.29,"1880-4-15 00:00:00"
1880,5,-0.09,-0.06,-0.12,1880.38,"1880-5-15 00:00:00"
1880,6,-0.2,-0.15,-0.24,1880.46,"1880-6-15 00:00:00"
1880,7,-0.17,-0.18,-0.17,1880.54,"1880-7-15 00:00:00"
1880,8,-0.09,-0.25,0.08,1880.62,"1880-8-15 00:00:00"
1880,9,-0.14,-0.22,-0.04,1880.71,"1880-9-15 00:00:00"
1880,10,-0.22,-0.31,-0.14,1880.79,"1880-10-15 00:00:00"
1880,11,-0.21,-0.42,0.01,1880.88,"1880-11-15 00:00:00"
1880,12,-0.16,-0.39,0.06,1880.96,"1880-12-15 00:00:00"
1881,1,-0.18,-0.3,-0.07,1881.04,"1881-1-15 00:00:00"
1881,2,-0.13,-0.21,-0.05,1881.12,"1881-2-15 00:00:00"
1881,3,0.04,-0.03,0.1,1881.21,"1881-3-15 00:00:00"
1881,4,0.06,0.01,0.1,1881.29,"1881-4-15 00:00:00"
1881,5,0.07,0.04,0.09,1881.38,"1881-5-15 00:00:00"
1881,6,-0.17,-0.32,-0.04,1881.46,"1881-6-15 00:00:00"
1881,7,0.01,0.09,-0.07,1881.54,"1881-7-15 00:00:00"
1881,8,-0.02,-0.03,-0.01,1881.62,"1881-8-15 00:00:00"
1881,9,-0.14,-0.26,-0.04,1881.71,"1881-9-15 00:00:00"
1881,10,-0.2,-0.42,0,1881.79,"1881-10-15 00:00:00"
1881,11,-0.17,-0.36,0.01,1881.88,"1881-11-15 00:00:00"
1881,12,-0.06,-0.22,0.1,1881.96,"1881-12-15 00:00:00"
1882,1,0.18,0.28,0.08,1882.04,"1882-1-15 00:00:00"
1882,2,0.15,0.22,0.08,1882.12,"1882-2-15 00:00:00"
1882,3,0.06,0.03,0.08,1882.21,"1882-3-15 00:00:00"
1882,4,-0.15,-0.31,-0.01,1882.29,"1882-4-15 00:00:00"
1882,5,-0.14,-0.24,-0.04,1882.38,"1882-5-15 00:00:00"
1882,6,-0.22,-0.28,-0.14,1882.46,"1882-6-15 00:00:00"
1882,7,-0.15,-0.26,-0.04,1882.54,"1882-7-15 00:00:00"
1882,8,-0.06,-0.14,0.02,1882.62,"1882-8-15 00:00:00"
1882,9,-0.14,-0.24,-0.04,1882.71,"1882-9-15 00:00:00"
1882,10,-0.23,-0.51,0.04,1882.79,"1882-10-15 00:00:00"
1882,11,-0.15,-0.32,0,1882.88,"1882-11-15 00:00:00"
1882,12,-0.35,-0.67,-0.06,1882.96,"1882-12-15 00:00:00"
1883,1,-0.28,-0.56,-0.01,1883.04,"1883-1-15 00:00:00"
1883,2,-0.36,-0.65,-0.07,1883.12,"1883-2-15 00:00:00"
1883,3,-0.12,-0.15,-0.08,1883.21,"1883-3-15 00:00:00"
1883,4,-0.18,-0.3,-0.06,1883.29,"1883-4-15 00:00:00"
1883,5,-0.17,-0.25,-0.1,1883.38,"1883-5-15 00:00:00"
1883,6,-0.06,-0.11,-0.02,1883.46,"1883-6-15 00:00:00"
1883,7,-0.07,-0.05,-0.08,1883.54,"1883-7-15 00:00:00"
1883,8,-0.13,-0.22,-0.04,1883.62,"1883-8-15 00:00:00"
1883,9,-0.21,-0.33,-0.1,1883.71,"1883-9-15 00:00:00"
1883,10,-0.11,-0.16,-0.06,1883.79,"1883-10-15 00:00:00"
1883,11,-0.23,-0.44,-0.03,1883.88,"1883-11-15 00:00:00"
1883,12,-0.1,-0.15,-0.05,1883.96,"1883-12-15 00:00:00"
1884,1,-0.12,-0.17,-0.07,1884.04,"1884-1-15 00:00:00"
1884,2,-0.08,-0.11,-0.05,1884.12,"1884-2-15 00:00:00"
1884,3,-0.36,-0.64,-0.1,1884.21,"1884-3-15 00:00:00"
1884,4,-0.39,-0.59,-0.21,1884.29,"1884-4-15 00:00:00"
1884,5,-0.34,-0.37,-0.31,1884.38,"1884-5-15 00:00:00"
1884,6,-0.34,-0.41,-0.29,1884.46,"1884-6-15 00:00:00"
1884,7,-0.32,-0.45,-0.21,1884.54,"1884-7-15 00:00:00"
1884,8,-0.27,-0.5,-0.06,1884.62,"1884-8-15 00:00:00"
1884,9,-0.27,-0.45,-0.11,1884.71,"1884-9-15 00:00:00"
1884,10,-0.24,-0.44,-0.06,1884.79,"1884-10-15 00:00:00"
1884,11,-0.32,-0.56,-0.09,1884.88,"1884-11-15 00:00:00"
1884,12,-0.3,-0.46,-0.14,1884.96,"1884-12-15 00:00:00"
1885,1,-0.57,-1,-0.19,1885.04,"1885-1-15 00:00:00"
1885,2,-0.32,-0.44,-0.22,1885.12,"1885-2-15 00:00:00"
1885,3,-0.25,-0.22,-0.29,1885.21,"1885-3-15 00:00:00"
1885,4,-0.41,-0.48,-0.35,1885.29,"1885-4-15 00:00:00"
1885,5,-0.44,-0.56,-0.32,1885.38,"1885-5-15 00:00:00"
1885,6,-0.42,-0.43,-0.42,1885.46,"1885-6-15 00:00:00"
1885,7,-0.32,-0.31,-0.33,1885.54,"1885-7-15 00:00:00"
1885,8,-0.29,-0.38,-0.22,1885.62,"1885-8-15 00:00:00"
1885,9,-0.27,-0.37,-0.19,1885.71,"1885-9-15 00:00:00"
1885,10,-0.22,-0.34,-0.12,1885.79,"1885-10-15 00:00:00"
1885,11,-0.22,-0.36,-0.1,1885.88,"1885-11-15 00:00:00"
1885,12,-0.08,-0.09,-0.09,1885.96,"1885-12-15 00:00:00"
1886,1,-0.41,-0.71,-0.13,1886.04,"1886-1-15 00:00:00"
1886,2,-0.49,-0.81,-0.19,1886.12,"1886-2-15 00:00:00"
1886,3,-0.41,-0.69,-0.16,1886.21,"1886-3-15 00:00:00"
1886,4,-0.27,-0.35,-0.19,1886.29,"1886-4-15 00:00:00"
1886,5,-0.23,-0.31,-0.15,1886.38,"1886-5-15 00:00:00"
1886,6,-0.33,-0.35,-0.31,1886.46,"1886-6-15 00:00:00"
1886,7,-0.17,-0.12,-0.21,1886.54,"1886-7-15 00:00:00"
1886,8,-0.29,-0.4,-0.18,1886.62,"1886-8-15 00:00:00"
1886,9,-0.22,-0.3,-0.14,1886.71,"1886-9-15 00:00:00"
1886,10,-0.26,-0.29,-0.23,1886.79,"1886-10-15 00:00:00"
1886,11,-0.25,-0.37,-0.14,1886.88,"1886-11-15 00:00:00"
1886,12,-0.23,-0.18,-0.28,1886.96,"1886-12-15 00:00:00"
1887,1,-0.7,-1.06,-0.36,1887.04,"1887-1-15 00:00:00"
1887,2,-0.55,-0.68,-0.43,1887.12,"1887-2-15 00:00:00"
1887,3,-0.34,-0.42,-0.27,1887.21,"1887-3-15 00:00:00"
1887,4,-0.33,-0.36,-0.3,1887.29,"1887-4-15 00:00:00"
1887,5,-0.29,-0.23,-0.35,1887.38,"1887-5-15 00:00:00"
1887,6,-0.23,-0.18,-0.27,1887.46,"1887-6-15 00:00:00"
1887,7,-0.24,-0.22,-0.27,1887.54,"1887-7-15 00:00:00"
1887,8,-0.33,-0.52,-0.16,1887.62,"1887-8-15 00:00:00"
1887,9,-0.24,-0.18,-0.29,1887.71,"1887-9-15 00:00:00"
1887,10,-0.34,-0.46,-0.22,1887.79,"1887-10-15 00:00:00"
1887,11,-0.24,-0.25,-0.24,1887.88,"1887-11-15 00:00:00"
1887,12,-0.32,-0.41,-0.22,1887.96,"1887-12-15 00:00:00"
1888,1,-0.32,-0.46,-0.2,1888.04,"1888-1-15 00:00:00"
1888,2,-0.34,-0.58,-0.12,1888.12,"1888-2-15 00:00:00"
1888,3,-0.39,-0.6,-0.21,1888.21,"1888-3-15 00:00:00"
1888,4,-0.19,-0.19,-0.19,1888.29,"1888-4-15 00:00:00"
1888,5,-0.21,-0.13,-0.29,1888.38,"1888-5-15 00:00:00"
1888,6,-0.16,-0.01,-0.31,1888.46,"1888-6-15 00:00:00"
1888,7,-0.09,0.02,-0.2,1888.54,"1888-7-15 00:00:00"
1888,8,-0.14,-0.18,-0.09,1888.62,"1888-8-15 00:00:00"
1888,9,-0.11,-0.17,-0.04,1888.71,"1888-9-15 00:00:00"
1888,10,0.03,0,0.06,1888.79,"1888-10-15 00:00:00"
1888,11,0.05,0.03,0.07,1888.88,"1888-11-15 00:00:00"
1888,12,-0.03,-0.22,0.15,1888.96,"1888-12-15 00:00:00"
1889,1,-0.07,-0.25,0.09,1889.04,"1889-1-15 00:00:00"
1889,2,0.19,0.33,0.03,1889.12,"1889-2-15 00:00:00"
1889,3,0.07,0,0.13,1889.21,"1889-3-15 00:00:00"
1889,4,0.11,0.18,0.03,1889.29,"1889-4-15 00:00:00"
1889,5,0,-0.02,0.02,1889.38,"1889-5-15 00:00:00"
1889,6,-0.09,-0.05,-0.12,1889.46,"1889-6-15 00:00:00"
1889,7,-0.06,-0.06,-0.07,1889.54,"1889-7-15 00:00:00"
1889,8,-0.19,-0.19,-0.19,1889.62,"1889-8-15 00:00:00"
1889,9,-0.23,-0.28,-0.17,1889.71,"1889-9-15 00:00:00"
1889,10,-0.24,-0.39,-0.1,1889.79,"1889-10-15 00:00:00"
1889,11,-0.32,-0.6,-0.05,1889.88,"1889-11-15 00:00:00"
1889,12,-0.28,-0.53,-0.03,1889.96,"1889-12-15 00:00:00"
1890,1,-0.41,-0.62,-0.2,1890.04,"1890-1-15 00:00:00"
1890,2,-0.45,-0.58,-0.32,1890.12,"1890-2-15 00:00:00"
1890,3,-0.39,-0.46,-0.33,1890.21,"1890-3-15 00:00:00"
1890,4,-0.28,-0.23,-0.34,1890.29,"1890-4-15 00:00:00"
1890,5,-0.39,-0.34,-0.43,1890.38,"1890-5-15 00:00:00"
1890,6,-0.23,-0.14,-0.33,1890.46,"1890-6-15 00:00:00"
1890,7,-0.27,-0.21,-0.32,1890.54,"1890-7-15 00:00:00"
1890,8,-0.38,-0.37,-0.38,1890.62,"1890-8-15 00:00:00"
1890,9,-0.35,-0.33,-0.38,1890.71,"1890-9-15 00:00:00"
1890,10,-0.24,-0.08,-0.39,1890.79,"1890-10-15 00:00:00"
1890,11,-0.43,-0.62,-0.24,1890.88,"1890-11-15 00:00:00"
1890,12,-0.3,-0.45,-0.16,1890.96,"1890-12-15 00:00:00"
1891,1,-0.32,-0.45,-0.2,1891.04,"1891-1-15 00:00:00"
1891,2,-0.46,-0.68,-0.25,1891.12,"1891-2-15 00:00:00"
1891,3,-0.17,-0.14,-0.2,1891.21,"1891-3-15 00:00:00"
1891,4,-0.26,-0.34,-0.19,1891.29,"1891-4-15 00:00:00"
1891,5,-0.15,-0.14,-0.17,1891.38,"1891-5-15 00:00:00"
1891,6,-0.2,-0.11,-0.28,1891.46,"1891-6-15 00:00:00"
1891,7,-0.17,-0.11,-0.23,1891.54,"1891-7-15 00:00:00"
1891,8,-0.16,-0.11,-0.21,1891.62,"1891-8-15 00:00:00"
1891,9,-0.15,-0.06,-0.23,1891.71,"1891-9-15 00:00:00"
1891,10,-0.21,-0.27,-0.16,1891.79,"1891-10-15 00:00:00"
1891,11,-0.3,-0.51,-0.1,1891.88,"1891-11-15 00:00:00"
1891,12,-0.03,-0.02,-0.05,1891.96,"1891-12-15 00:00:00"
1892,1,-0.27,-0.47,-0.08,1892.04,"1892-1-15 00:00:00"
1892,2,-0.09,-0.14,-0.05,1892.12,"1892-2-15 00:00:00"
1892,3,-0.39,-0.65,-0.13,1892.21,"1892-3-15 00:00:00"
1892,4,-0.32,-0.44,-0.21,1892.29,"1892-4-15 00:00:00"
1892,5,-0.23,-0.22,-0.23,1892.38,"1892-5-15 00:00:00"
1892,6,-0.21,-0.04,-0.38,1892.46,"1892-6-15 00:00:00"
1892,7,-0.31,-0.36,-0.26,1892.54,"1892-7-15 00:00:00"
1892,8,-0.26,-0.31,-0.21,1892.62,"1892-8-15 00:00:00"
1892,9,-0.15,-0.18,-0.13,1892.71,"1892-9-15 00:00:00"
1892,10,-0.13,-0.26,0,1892.79,"1892-10-15 00:00:00"
1892,11,-0.41,-0.81,-0.02,1892.88,"1892-11-15 00:00:00"
1892,12,-0.37,-0.64,-0.11,1892.96,"1892-12-15 00:00:00"
1893,1,-0.8,-1.5,-0.12,1893.04,"1893-1-15 00:00:00"
1893,2,-0.55,-0.94,-0.17,1893.12,"1893-2-15 00:00:00"
1893,3,-0.21,-0.3,-0.12,1893.21,"1893-3-15 00:00:00"
1893,4,-0.26,-0.29,-0.24,1893.29,"1893-4-15 00:00:00"
1893,5,-0.34,-0.43,-0.24,1893.38,"1893-5-15 00:00:00"
1893,6,-0.25,-0.18,-0.32,1893.46,"1893-6-15 00:00:00"
1893,7,-0.13,-0.13,-0.14,1893.54,"1893-7-15 00:00:00"
1893,8,-0.24,-0.33,-0.17,1893.62,"1893-8-15 00:00:00"
1893,9,-0.22,-0.28,-0.16,1893.71,"1893-9-15 00:00:00"
1893,10,-0.18,-0.27,-0.08,1893.79,"1893-10-15 00:00:00"
1893,11,-0.18,-0.33,-0.03,1893.88,"1893-11-15 00:00:00"
1893,12,-0.31,-0.61,-0.02,1893.96,"1893-12-15 00:00:00"
1894,1,-0.51,-0.9,-0.13,1894.04,"1894-1-15 00:00:00"
1894,2,-0.28,-0.4,-0.15,1894.12,"1894-2-15 00:00:00"
1894,3,-0.22,-0.19,-0.24,1894.21,"1894-3-15 00:00:00"
1894,4,-0.44,-0.53,-0.35,1894.29,"1894-4-15 00:00:00"
